,date,rooms,area_size,floor,price,year,city
0,24/1/2021,4.0,107.0,,1,2020.0,נהריה
1,24/1/2021,4.0,107.0,1.0,1,2020.0,נהריה
2,22/1/2021,5.0,140.0,4.0,1,2021.0,נהריה
3,22/1/2021,3.0,65.0,,600,1970.0,נהריה
4,22/1/2021,5.0,140.0,,1,2021.0,נהריה
5,22/1/2021,3.0,65.0,4.0,600,1970.0,נהריה
6,18/1/2021,4.0,119.0,,1,2020.0,נהריה
7,18/1/2021,4.0,119.0,5.0,1,2020.0,נהריה
8,17/1/2021,5.0,137.0,,1,2015.0,נהריה
9,17/1/2021,5.0,137.0,2.0,1,2015.0,נהריה
10,17/1/2021,3.0,75.0,3.0,625,1960.0,נהריה
11,17/1/2021,3.0,75.0,,625,1960.0,נהריה
12,14/1/2021,4.0,109.0,,1,2019.0,נהריה
13,14/1/2021,4.0,100.0,,1,2021.0,נהריה
14,14/1/2021,5.0,131.0,,961,2020.0,נהריה
15,14/1/2021,5.0,131.0,2.0,961,2020.0,נהריה
16,14/1/2021,4.0,100.0,3.0,1,2021.0,נהריה
17,14/1/2021,4.0,109.0,1.0,1,2019.0,נהריה
18,14/1/2021,5.0,122.0,1.0,1,2020.0,נהריה
19,14/1/2021,5.0,122.0,,1,2020.0,נהריה
20,13/1/2021,3.0,84.0,3.0,751,2020.0,נהריה
21,13/1/2021,3.0,84.0,,751,2020.0,נהריה
22,12/1/2021,5.0,180.0,6.0,1,2020.0,נהריה
23,12/1/2021,5.0,126.0,,1,2020.0,נהריה
24,12/1/2021,3.0,89.0,,755,2020.0,נהריה
25,12/1/2021,5.0,126.0,3.0,1,2020.0,נהריה
26,12/1/2021,3.0,89.0,6.0,755,2020.0,נהריה
27,12/1/2021,5.0,180.0,,1,2020.0,נהריה
28,11/1/2021,5.0,127.0,,1,2020.0,נהריה
29,11/1/2021,5.0,127.0,12.0,1,2020.0,נהריה
30,11/1/2021,4.0,123.0,,1,2020.0,נהריה
31,10/1/2021,3.0,84.0,2.0,750,2020.0,נהריה
32,10/1/2021,3.0,84.0,,750,2020.0,נהריה
33,07/1/2021,3.0,84.0,2.0,750,2020.0,נהריה
34,07/1/2021,5.0,118.0,,1,2020.0,נהריה
35,07/1/2021,4.0,120.0,,1,2021.0,נהריה
36,07/1/2021,5.0,118.0,3.0,1,2020.0,נהריה
37,07/1/2021,3.0,84.0,,750,2020.0,נהריה
38,06/1/2021,5.0,125.0,,1,2021.0,נהריה
39,06/1/2021,5.0,125.0,4.0,1,2021.0,נהריה
40,05/1/2021,4.0,109.0,15.0,1,2019.0,נהריה
41,05/1/2021,3.0,99.0,7.0,980,2020.0,נהריה
42,05/1/2021,4.0,109.0,,1,2019.0,נהריה
43,05/1/2021,3.0,99.0,,980,2020.0,נהריה
44,31/12/2020,5.0,137.0,8.0,1,2020.0,נהריה
45,31/12/2020,5.0,137.0,,1,2020.0,נהריה
46,31/12/2020,4.0,111.0,,1,2020.0,נהריה
47,31/12/2020,6.0,148.0,,1,2020.0,נהריה
48,31/12/2020,5.0,123.0,,1,2020.0,נהריה
49,31/12/2020,4.0,111.0,1.0,1,2020.0,נהריה
50,24/1/2021,4.0,107.0,,1,2020.0,נהריה
51,24/1/2021,4.0,107.0,1.0,1,2020.0,נהריה
52,22/1/2021,5.0,140.0,4.0,1,2021.0,נהריה
53,22/1/2021,3.0,65.0,,600,1970.0,נהריה
54,22/1/2021,5.0,140.0,,1,2021.0,נהריה
55,22/1/2021,3.0,65.0,4.0,600,1970.0,נהריה
56,18/1/2021,4.0,119.0,,1,2020.0,נהריה
57,18/1/2021,4.0,119.0,5.0,1,2020.0,נהריה
58,17/1/2021,5.0,137.0,,1,2015.0,נהריה
59,17/1/2021,5.0,137.0,2.0,1,2015.0,נהריה
60,17/1/2021,3.0,75.0,3.0,625,1960.0,נהריה
61,17/1/2021,3.0,75.0,,625,1960.0,נהריה
62,14/1/2021,4.0,109.0,,1,2019.0,נהריה
63,14/1/2021,4.0,100.0,,1,2021.0,נהריה
64,14/1/2021,5.0,131.0,,961,2020.0,נהריה
65,14/1/2021,5.0,131.0,2.0,961,2020.0,נהריה
66,14/1/2021,4.0,100.0,3.0,1,2021.0,נהריה
67,14/1/2021,4.0,109.0,1.0,1,2019.0,נהריה
68,14/1/2021,5.0,122.0,1.0,1,2020.0,נהריה
69,14/1/2021,5.0,122.0,,1,2020.0,נהריה
70,13/1/2021,3.0,84.0,3.0,751,2020.0,נהריה
71,13/1/2021,3.0,84.0,,751,2020.0,נהריה
72,12/1/2021,5.0,180.0,6.0,1,2020.0,נהריה
73,12/1/2021,5.0,126.0,,1,2020.0,נהריה
74,12/1/2021,3.0,89.0,,755,2020.0,נהריה
75,12/1/2021,5.0,126.0,3.0,1,2020.0,נהריה
76,12/1/2021,3.0,89.0,6.0,755,2020.0,נהריה
77,12/1/2021,5.0,180.0,,1,2020.0,נהריה
78,11/1/2021,5.0,127.0,,1,2020.0,נהריה
79,11/1/2021,5.0,127.0,12.0,1,2020.0,נהריה
80,11/1/2021,4.0,123.0,,1,2020.0,נהריה
81,10/1/2021,3.0,84.0,2.0,750,2020.0,נהריה
82,10/1/2021,3.0,84.0,,750,2020.0,נהריה
83,07/1/2021,3.0,84.0,2.0,750,2020.0,נהריה
84,07/1/2021,5.0,118.0,,1,2020.0,נהריה
85,07/1/2021,4.0,120.0,,1,2021.0,נהריה
86,07/1/2021,5.0,118.0,3.0,1,2020.0,נהריה
87,07/1/2021,3.0,84.0,,750,2020.0,נהריה
88,06/1/2021,5.0,125.0,,1,2021.0,נהריה
89,06/1/2021,5.0,125.0,4.0,1,2021.0,נהריה
90,05/1/2021,4.0,109.0,15.0,1,2019.0,נהריה
91,05/1/2021,3.0,99.0,7.0,980,2020.0,נהריה
92,05/1/2021,4.0,109.0,,1,2019.0,נהריה
93,05/1/2021,3.0,99.0,,980,2020.0,נהריה
94,31/12/2020,5.0,137.0,8.0,1,2020.0,נהריה
95,31/12/2020,5.0,137.0,,1,2020.0,נהריה
96,31/12/2020,4.0,111.0,,1,2020.0,נהריה
97,31/12/2020,6.0,148.0,,1,2020.0,נהריה
98,31/12/2020,5.0,123.0,,1,2020.0,נהריה
99,31/12/2020,4.0,111.0,1.0,1,2020.0,נהריה
100,24/1/2021,4.0,107.0,,1,2020.0,נהריה
101,24/1/2021,4.0,107.0,1.0,1,2020.0,נהריה
102,22/1/2021,5.0,140.0,4.0,1,2021.0,נהריה
103,22/1/2021,3.0,65.0,,600,1970.0,נהריה
104,22/1/2021,5.0,140.0,,1,2021.0,נהריה
105,22/1/2021,3.0,65.0,4.0,600,1970.0,נהריה
106,18/1/2021,4.0,119.0,,1,2020.0,נהריה
107,18/1/2021,4.0,119.0,5.0,1,2020.0,נהריה
108,17/1/2021,5.0,137.0,,1,2015.0,נהריה
109,17/1/2021,5.0,137.0,2.0,1,2015.0,נהריה
110,17/1/2021,3.0,75.0,3.0,625,1960.0,נהריה
111,17/1/2021,3.0,75.0,,625,1960.0,נהריה
112,14/1/2021,4.0,109.0,,1,2019.0,נהריה
113,14/1/2021,4.0,100.0,,1,2021.0,נהריה
114,14/1/2021,5.0,131.0,,961,2020.0,נהריה
115,14/1/2021,5.0,131.0,2.0,961,2020.0,נהריה
116,14/1/2021,4.0,100.0,3.0,1,2021.0,נהריה
117,14/1/2021,4.0,109.0,1.0,1,2019.0,נהריה
118,14/1/2021,5.0,122.0,1.0,1,2020.0,נהריה
119,14/1/2021,5.0,122.0,,1,2020.0,נהריה
120,13/1/2021,3.0,84.0,3.0,751,2020.0,נהריה
121,13/1/2021,3.0,84.0,,751,2020.0,נהריה
122,12/1/2021,5.0,180.0,6.0,1,2020.0,נהריה
123,12/1/2021,5.0,126.0,,1,2020.0,נהריה
124,12/1/2021,3.0,89.0,,755,2020.0,נהריה
125,12/1/2021,5.0,126.0,3.0,1,2020.0,נהריה
126,12/1/2021,3.0,89.0,6.0,755,2020.0,נהריה
127,12/1/2021,5.0,180.0,,1,2020.0,נהריה
128,11/1/2021,5.0,127.0,,1,2020.0,נהריה
129,11/1/2021,5.0,127.0,12.0,1,2020.0,נהריה
130,11/1/2021,4.0,123.0,,1,2020.0,נהריה
131,10/1/2021,3.0,84.0,2.0,750,2020.0,נהריה
132,10/1/2021,3.0,84.0,,750,2020.0,נהריה
133,07/1/2021,3.0,84.0,2.0,750,2020.0,נהריה
134,07/1/2021,5.0,118.0,,1,2020.0,נהריה
135,07/1/2021,4.0,120.0,,1,2021.0,נהריה
136,07/1/2021,5.0,118.0,3.0,1,2020.0,נהריה
137,07/1/2021,3.0,84.0,,750,2020.0,נהריה
138,06/1/2021,5.0,125.0,,1,2021.0,נהריה
139,06/1/2021,5.0,125.0,4.0,1,2021.0,נהריה
140,05/1/2021,4.0,109.0,15.0,1,2019.0,נהריה
141,05/1/2021,3.0,99.0,7.0,980,2020.0,נהריה
142,05/1/2021,4.0,109.0,,1,2019.0,נהריה
143,05/1/2021,3.0,99.0,,980,2020.0,נהריה
144,31/12/2020,5.0,137.0,8.0,1,2020.0,נהריה
145,31/12/2020,5.0,137.0,,1,2020.0,נהריה
146,31/12/2020,4.0,111.0,,1,2020.0,נהריה
147,31/12/2020,6.0,148.0,,1,2020.0,נהריה
148,31/12/2020,5.0,123.0,,1,2020.0,נהריה
